CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
1997bp,62,0.00864,0.00085,0.00931,0.00015,0.00817,0.00015,13.1668,0.42436,32.4198,0.425219,32.5982,1,0,0.11503,0.027946,-0.05696,0.055661,13.6576,0.0415332,0.0617989,0.00236402,-0.000227626,1.5403e-05,-4.80997e-05,191.724,-11.6425,-999,-999,-9.0,201.132,250,0.0380864,9.75,0.43,50550.2,0.1065,46,842.551,0.0,0.0645,0.2145,0.0743,0.012,1.0,0.038,,,,,,,,,,,,,,,,,
ASASSN-16jf,150,0.01096,0.00084,0.0104,1e-05,0.01144,1e-05,14.3179,0.313698,33.5709,0.314858,-9.0,0,0,-0.031719,0.042517,-1.97973,0.15325,14.6019,0.0491948,0.0258962,0.00117336,1.99995e-05,-5.54312e-05,-4.22351e-05,339.247,-25.232,-999,-999,-9.0,-166.92,250,0.0203573,8.01649,0.013,57629.9,0.2221,8,25.7163,0.00117435,0.0997,0.1673,0.0376,0.004,1.0,0.008,,,,,,,,,,,,,,,,,
1992bs,50,0.06372,0.0009,0.0637,0.00015,0.06405,0.00015,18.0987,0.204745,37.3517,0.206518,-9.0,0,1,-0.046839,0.048183,-0.254896,0.12543,18.0085,0.0409461,0.00112357,4.23728e-05,-0.00107221,1.62982e-06,-1.49697e-06,52.3749,-37.2718,-999,-999,-9.0,-4.4741,250,0.0104577,10.5104,0.28089,48986.0,0.4364,29,30.918,0.3693,0.1257,0.0316,-0.0354,0.003,1.0,0.003,,,,,,,,,,,,,,,,,
13038,1,0.10507,0.00508,0.10485,0.005,0.1062,0.005,19.1765,0.234634,38.4295,0.236183,-9.0,0,0,-0.02399,0.023079,1.43036,0.14627,18.9637,0.0370706,0.000466167,1.59164e-05,0.000662813,-9.71472e-07,-2.92174e-07,347.827,0.5046,-9,-9,-9.0,-60.2355,250,0.033158,8.87462,-9.0,53988.7,0.1443,53,41.1666,0.8814,0.0531,0.1102,0.02,0.008,1.0,0.012,,,,,,,,,,,,,,,,,
15171,1,0.13826,0.00107,0.13818,0.0005,0.1392,0.0005,19.6973,0.157441,38.9503,0.15974,-9.0,0,1,-0.072561,0.025914,0.67029,0.14725,19.4545,0.0577537,0.000296608,1.57775e-05,0.000256604,-1.44907e-07,-2.98156e-07,304.793,-1.0645,-9,-9,1.163,-19.2613,250,0.0919506,9.85121,0.142,54029.1,0.1382,65,79.4026,0.10788,0.0588,0.0179,0.0281,0.003,1.0,0.008,,,,,,,,,,,,,,,,,
17391,1,0.1836,0.00111,0.18345,0.0005,0.1849,0.0005,20.3465,0.29295,39.5995,0.294191,-9.0,0,0,0.024238,0.046001,0.34173,0.659,20.4262,0.0693015,0.000121206,7.73646e-06,-0.0104561,2.28557e-06,-2.3522e-07,347.552,-0.9314,-9,-9,-9.0,-36.6158,250,0.0317044,7.0,-9.0,54345.1,1.7315,40,34.3364,0.7225,0.1583,0.0142,0.0028,0.006,1.0,0.016,,,,,,,,,,,,,,,,,
1316431,10,0.19828,0.0051,0.19815,0.005,0.199,0.005,20.6349,0.172306,39.8879,0.174409,-9.0,0,0,-0.092458,0.026912,1.29871,0.1308,20.254,0.0387095,0.000142036,5.06398e-06,1.36672e-05,-7.13073e-08,-1.10678e-07,42.2394,-0.4084,-999,-999,-9.0,-32.5934,250,0.0435636,7.0,2.0,57018.9,0.1316,26,33.1222,0.15858,0.0619,0.0609,0.0442,0.004,1.0,0.007,,,,,,,,,,,,,,,,,
16032,1,0.20331,0.00112,0.20318,0.0005,0.204,0.0005,20.6747,0.171689,39.9277,0.173799,-9.0,0,0,-0.103496,0.034717,-0.740612,0.23563,20.5278,0.0476505,0.000110378,4.84426e-06,0.0016901,-3.98825e-07,-1.22406e-07,44.0692,-0.4108,-9,-9,-9.0,-31.2577,250,0.056301,7.0,-9.0,54046.4,0.1779,42,25.8042,0.97667,0.0854,0.0131,0.0115,0.008,1.0,0.005,,,,,,,,,,,,,,,,,
17811,1,0.212,0.00113,0.21186,0.0005,0.2132,0.0005,20.6606,0.192614,39.9136,0.194498,-9.0,0,0,-0.130649,0.032976,1.08099,0.30058,20.2386,0.0424726,0.000144066,5.63566e-06,-2.27791e-05,-7.01687e-07,-1.22861e-07,12.8787,-0.9474,-9,-9,-9.0,-35.4819,250,0.0381921,7.0,-9.0,54355.4,0.2847,38,29.9375,0.82167,0.1008,0.0127,0.0891,0.006,1.0,0.005,,,,,,,,,,,,,,,,,
6933,1,0.21398,0.0051,0.21383,0.005,0.2152,0.005,20.6344,0.195634,39.8874,0.197488,-9.0,0,0,-0.022316,0.032651,0.084513,0.23882,20.5739,0.0362115,0.000105786,3.52817e-06,0.00102712,-2.47341e-07,-8.24149e-08,11.3517,1.0756,-9,-9,-9.0,-37.5118,250,0.0202861,7.0,-9.0,53679.9,0.2384,32,34.3579,0.35541,0.0864,0.0568,-0.0314,0.004,1.0,0.008,,,,,,,,,,,,,,,,,
1342255,10,0.21899,0.00113,0.21886,0.0005,0.21976,0.0005,20.7766,0.127998,40.0296,0.130815,-9.0,0,0,-0.104301,0.026995,0.4683,0.25592,20.4589,0.0337705,0.000117609,3.65807e-06,0.00145316,-2.62186e-07,-8.21483e-08,40.7435,-0.2674,-999,-999,2.83,-30.6372,250,0.0241139,10.024,0.0665,57390.7,0.1821,12,6.12526,0.90964,0.0662,0.0123,0.0215,0.002,1.0,0.003,,,,,,,,,,,,,,,,,
7512,1,0.22066,0.0051,0.22055,0.005,0.2212,0.005,20.9346,0.22365,40.1876,0.225274,-9.0,0,0,-0.001003,0.039741,0.5115,0.37729,20.8819,0.0619624,7.96632e-05,4.54633e-06,0.00226012,-5.05218e-07,-1.21203e-07,52.0903,-0.3261,-9,-9,-9.0,-26.2724,250,0.0883678,7.0,-9.0,53682.5,0.364,40,37.1684,0.59844,0.1093,0.0552,-0.0266,0.005,1.0,0.009,,,,,,,,,,,,,,,,,
020096,15,0.22578,0.00143,0.22563,0.001,0.225,0.001,20.7335,0.17388,39.9865,0.175963,-9.0,0,0,-0.076474,0.033151,-0.69326,0.21577,20.6652,0.0393925,9.72541e-05,3.52856e-06,0.000766081,-2.70613e-07,-8.99147e-08,161.314,58.1927,-999,-999,22.0265,-37.0486,250,0.00900839,9.059,0.642,55281.4,0.2591,19,21.0752,0.33266,0.0849,0.0151,0.0135,0.004,1.0,0.007,,,,,,,,,,,,,,,,,
180561,15,0.22865,0.00143,0.22853,0.001,0.23,0.001,20.9074,0.307057,40.1604,0.308241,-9.0,0,0,0.13764,0.031705,0.0111,0.21475,21.4335,0.044018,4.79297e-05,1.94317e-06,0.00106397,-1.63924e-07,-4.71062e-08,334.462,1.4684,-999,-999,22.5499,-29.1911,250,0.0421341,8.444,0.724,55784.1,0.1859,44,51.8466,0.19449,0.079,0.015,0.0497,0.008,1.0,0.035,,,,,,,,,,,,,,,,,
3377,1,0.24459,0.00115,0.24449,0.0005,0.2451,0.0005,20.8733,0.184175,40.1263,0.186144,-9.0,0,0,-0.076832,0.037394,1.0447,0.31262,20.5787,0.0582352,0.00010532,5.64902e-06,0.00061568,-5.10338e-07,-1.34771e-07,54.1562,1.0792,-9,-9,1.223,-24.7739,250,0.088019,9.666,0.194,53645.9,0.3353,50,31.2598,0.98253,0.1071,0.0113,0.0447,0.005,1.0,0.004,,,,,,,,,,,,,,,,,
05D3mq,4,0.2466,0.00144,0.24649,0.001,0.246,0.001,21.1377,0.152782,40.3907,0.15515,-9.0,0,0,-0.009672,0.025576,-0.703263,0.16543,21.2325,0.0288841,5.76772e-05,1.5344e-06,0.000573218,-7.55799e-08,-3.24005e-08,214.752,52.3851,-999,-999,-9.0,-27.8154,250,0.00861141,10.723,0.0765,53575.8,0.1515,8,6.47969,0.59366,0.0632,0.0141,-0.0315,0.013,1.0,0.007,,,,,,,,,,,,,,,,,
3451,1,0.24846,0.00104,0.24835,4e-05,0.24984,4e-05,20.95,0.175101,40.203,0.17717,-9.0,0,0,-0.0527,0.03874,0.69046,0.32834,20.7126,0.0478176,9.31067e-05,4.10057e-06,0.000758576,-5.57292e-07,-9.42393e-08,334.069,0.7081,-9,-9,2.661,-26.3738,250,0.0482842,10.839,0.115,53645.1,0.3224,43,32.1319,0.88778,0.1166,0.0101,-0.025,0.002,1.0,0.001,,,,,,,,,,,,,,,,,
420087,15,0.2486,0.01005,0.24848,0.01,0.25,0.01,21.2382,0.214234,40.4912,0.215929,-9.0,0,0,-0.184623,0.043314,0.54441,0.41186,20.7406,0.0685531,9.07295e-05,5.72864e-06,0.00801823,-7.73882e-07,-2.2556e-07,352.767,0.1062,-999,-999,-9.0,-30.5351,250,0.040825,7.0,99.0,56135.2,0.7765,22,21.6293,0.54271,0.0724,0.0975,0.1012,0.006,1.0,0.005,,,,,,,,,,,,,,,,,
120585,15,0.24909,0.00144,0.24899,0.001,0.25,0.001,21.0637,0.165166,40.3167,0.167358,-9.0,0,0,-0.155379,0.028618,0.22308,0.30908,20.6749,0.0397863,9.6395e-05,3.53235e-06,0.0014535,-3.50846e-07,-7.67402e-08,35.7735,-3.6103,-999,-999,23.7559,-25.3474,250,0.0237877,9.363,0.274,55583.6,0.3776,11,13.3185,0.27302,0.0786,0.0139,0.0721,0.003,1.0,0.005,,,,,,,,,,,,,,,,,
390449,15,0.25022,0.01005,0.25008,0.01,0.25,0.01,21.1234,0.216542,40.3764,0.218218,-9.0,0,0,-0.028349,0.026453,-0.085035,0.21539,21.1005,0.0350823,6.51304e-05,2.1045e-06,0.00201033,-2.10327e-07,-4.77618e-08,242.951,54.4558,-999,-999,-9.0,-35.0899,250,0.00571723,7.0,-9.0,56069.9,0.1885,27,23.889,0.63646,0.0583,0.0969,-0.0001,0.002,1.0,0.009,,,,,,,,,,,,,,,,,
550041,15,0.25859,0.01005,0.25847,0.01,0.26,0.01,21.2133,0.207532,40.4663,0.209281,-9.0,0,0,-0.192329,0.042689,0.79943,0.25127,20.6708,0.0660023,9.67581e-05,5.88196e-06,0.00522694,-8.4676e-07,-2.51281e-07,352.54,-0.8664,-999,-999,25.034,-28.5996,250,0.03059,7.4,0.1,56558.9,0.2995,29,26.7352,0.58599,0.0712,0.0941,0.1177,0.006,1.0,0.004,,,,,,,,,,,,,,,,,
2943,1,0.26419,0.00117,0.26405,0.0005,0.2654,0.0005,21.2544,0.236921,40.5074,0.238455,-9.0,0,0,-0.02419,0.047127,0.56901,0.43619,21.1196,0.047653,6.40001e-05,2.80897e-06,-0.000215827,-4.46089e-07,-6.2413e-08,17.7049,1.0079,-9,-9,-9.0,-31.1986,250,0.0294941,7.0,-9.0,53640.5,0.5431,38,32.4629,0.72287,0.1541,0.0107,-0.0285,0.006,1.0,0.003,,,,,,,,,,,,,,,,,
510638,15,0.2702,0.01006,0.27006,0.01,0.27,0.01,21.3833,0.195143,40.6363,0.197002,-9.0,0,0,-0.088706,0.028069,0.21729,0.1437,21.1562,0.0389876,6.1877e-05,2.22194e-06,0.000984576,-1.60624e-07,-5.1861e-08,243.469,56.0842,-999,-999,24.1006,-34.3481,250,0.00665785,8.6546,0.1,56439.7,0.1543,55,59.0273,0.33061,0.0635,0.0905,0.0268,0.001,1.0,0.006,,,,,,,,,,,,,,,,,
1317286,10,0.28207,0.00511,0.28198,0.005,0.283,0.005,21.3456,0.164427,40.5986,0.166629,-9.0,0,0,-0.100205,0.02659,0.72832,0.15847,21.0224,0.031726,6.9989e-05,2.04513e-06,0.000169802,-6.03247e-08,-4.2995e-08,36.0079,-6.8106,-999,-999,-9.0,-19.8077,250,0.0245391,7.0,2.0,57015.4,0.1653,32,21.9847,0.9078,0.0675,0.0442,0.0417,0.002,1.0,0.006,,,,,,,,,,,,,,,,,
350192,15,0.30142,0.01006,0.3015,0.01,0.3,0.01,21.6055,0.189791,40.8585,0.191702,-9.0,0,0,-0.052851,0.026569,0.13433,0.22628,21.4754,0.0338107,4.61145e-05,1.43604e-06,0.0010841,-1.04836e-07,-3.0597e-08,148.716,1.9617,-999,-999,22.9871,18.5041,250,0.021776,8.553,7.88,55952.5,0.2657,42,41.6204,0.4875,0.0676,0.082,0.0008,0.001,1.0,0.006,,,,,,,,,,,,,,,,,
1337838,10,0.31203,0.0012,0.31195,0.0005,0.313,0.0005,21.6973,0.158158,40.9503,0.160446,-9.0,0,0,-0.044098,0.026237,0.99511,0.20136,21.4809,0.0331779,4.58809e-05,1.40203e-06,0.000971737,-9.45146e-08,-2.94581e-08,35.496,-6.4982,-999,-999,0.33,-18.5736,250,0.0231591,8.424,0.4435,57364.7,0.2034,32,28.7509,0.63178,0.0657,0.0095,0.0144,0.002,1.0,0.007,,,,,,,,,,,,,,,,,
430003,15,0.32851,0.00149,0.32843,0.001,0.33,0.001,21.681,0.294415,40.934,0.295651,-9.0,0,0,0.10222,0.047767,1.44162,0.40168,21.835,0.071326,3.31123e-05,2.17527e-06,-0.00121015,-3.77345e-07,-7.42128e-08,333.38,-0.4529,-999,-999,23.6827,-19.7589,250,0.0792523,7.0,1.088,56177.1,0.4832,30,34.323,0.26811,0.143,0.0112,-0.0018,0.009,1.0,0.02,,,,,,,,,,,,,,,,,
6924,1,0.32871,0.00512,0.3286,0.005,0.3302,0.005,21.6746,0.220549,40.9276,0.222195,-9.0,0,0,-0.071776,0.042959,0.96541,0.79343,21.3887,0.0484519,4.99498e-05,2.22905e-06,0.00884579,-1.10028e-06,-4.37094e-08,358.969,0.877,-9,-9,-9.0,-25.5238,250,0.0272777,7.0,-9.0,53674.6,0.6841,47,35.6014,0.88812,0.1647,0.0386,0.026,0.011,0.683,0.0,,,,,,,,,,,,,,,,,
130862,15,0.33298,0.0015,0.3329,0.001,0.332,0.001,22.0769,0.199859,41.3299,0.201675,-9.0,0,0,-0.091964,0.032732,0.67028,0.38179,21.7749,0.0474332,3.49989e-05,1.52902e-06,-0.000675489,-3.31428e-07,-2.64971e-08,184.002,47.9204,-999,-999,23.7901,-16.7148,250,0.0150297,9.5892,0.1,55607.2,0.367,30,34.818,0.24932,0.1207,0.0112,0.0288,0.001,1.0,0.004,,,,,,,,,,,,,,,,,
1346956,10,0.3335,0.00122,0.33353,0.0005,0.334,0.0005,21.7836,0.174041,41.0366,0.176123,-9.0,0,0,-0.073226,0.033508,0.98387,0.37505,21.4855,0.0443374,4.56871e-05,1.86569e-06,0.00504113,-4.23265e-07,-4.46262e-08,54.3435,-28.8264,-999,-999,-9.0,5.7196,250,0.00939579,7.0,2.0,57412.3,0.3001,16,20.1824,0.21212,0.0889,0.0091,0.0211,0.002,1.0,0.006,,,,,,,,,,,,,,,,,
330089,15,0.34881,0.0015,0.34872,0.001,0.3498,0.001,22.1191,0.21674,41.3721,0.218415,-9.0,0,0,0.028298,0.038972,0.68208,0.53575,22.1208,0.0474508,2.54489e-05,1.11221e-06,0.0068904,-2.44367e-07,-3.4545e-08,36.1903,-4.8221,-999,-999,21.5339,-18.1298,250,0.0238416,9.651,0.264,55890.7,0.6436,26,32.2171,0.18604,0.1052,0.0107,-0.0375,0.003,1.0,0.01,,,,,,,,,,,,,,,,,
440185,15,0.34949,0.01006,0.34952,0.01,0.35,0.01,21.8996,0.204053,41.1526,0.205831,-9.0,0,0,-0.069932,0.03701,0.19676,0.4476,21.7006,0.0668985,3.74776e-05,2.30921e-06,0.00514961,-3.31146e-07,-5.2694e-08,54.3495,-28.44,-999,-999,-9.0,5.1868,250,0.0102635,7.0,99.0,56199.7,1.1841,35,30.1756,0.70012,0.1049,0.0718,-0.0062,0.001,1.0,0.004,,,,,,,,,,,,,,,,,
050293,15,0.36017,0.00151,0.36005,0.001,0.36,0.001,21.934,0.189244,41.187,0.191161,-9.0,0,0,-0.023063,0.032841,0.43068,0.40913,21.8188,0.0360418,3.36098e-05,1.1157e-06,0.00216786,-2.38241e-07,-2.32885e-08,244.449,55.3023,-999,-999,23.9995,-26.7242,250,0.00913189,8.555,8.052,55355.7,0.3783,37,42.5393,0.24478,0.1062,0.0105,-0.0327,0.002,1.0,0.006,,,,,,,,,,,,,,,,,
04D1hd,4,0.36799,0.00152,0.36791,0.001,0.369,0.001,22.2169,0.156057,41.4699,0.158375,-9.0,0,0,-0.097547,0.021907,0.78582,0.067924,21.8953,0.0263619,3.13238e-05,7.60548e-07,-0.000130244,-2.62924e-09,-1.28767e-08,36.5368,-4.1096,-999,-999,-9.0,-17.8129,250,0.0238203,8.199,0.0905,53268.3,0.0824,45,61.5832,0.0506484,0.0564,0.0104,0.0436,0.002,1.0,0.008,,,,,,,,,,,,,,,,,
500057,15,0.38061,0.01007,0.38052,0.01,0.38,0.01,22.2084,0.186096,41.4614,0.188044,-9.0,0,0,-0.141546,0.030082,1.06665,0.37249,21.7566,0.0348797,3.55937e-05,1.14346e-06,0.00236254,-2.10227e-07,-2.36387e-08,214.473,53.8417,-999,-999,23.7364,-20.381,250,0.00763861,9.102,8.025,56393.7,0.4052,49,53.2311,0.31468,0.0928,0.0666,0.0908,0.003,1.0,0.002,,,,,,,,,,,,,,,,,
040150,15,0.38185,0.00153,0.38174,0.001,0.381,0.001,22.3085,0.197057,41.5615,0.198898,-9.0,0,0,-0.047299,0.042998,-0.249703,0.5281,22.2007,0.0549233,2.3643e-05,1.19601e-06,0.00981085,-4.526e-07,-3.27428e-08,162.098,57.1482,-999,-999,22.9221,-23.1195,250,0.00652227,8.413,0.738,55337.8,0.3893,16,15.5566,0.48431,0.1228,0.0101,-0.0507,0.002,1.0,0.003,,,,,,,,,,,,,,,,,
360139,15,0.386,0.00153,0.38594,0.001,0.385,0.001,22.2687,0.149698,41.5217,0.152114,-9.0,0,0,-0.035464,0.032072,0.63592,0.29398,22.0603,0.0377986,2.69074e-05,9.36749e-07,0.000619331,-1.21758e-07,-2.30159e-08,185.739,47.5675,-999,-999,21.9203,-14.4648,250,0.011454,11.022,0.286,55972.0,0.3229,51,58.7126,0.21374,0.0935,0.01,-0.0573,0.002,1.0,0.001,,,,,,,,,,,,,,,,,
06D4cq,4,0.40949,0.00154,0.40947,0.001,0.411,0.001,22.4254,0.170063,41.6784,0.172193,-9.0,0,0,-0.04525,0.021758,0.42847,0.094911,22.2952,0.0258727,2.16733e-05,5.16466e-07,-0.00015791,-6.81114e-09,-8.91083e-09,334.231,-17.712,-999,-999,-9.0,-4.6097,250,0.0233001,9.107,0.088,53947.4,0.104,41,63.4928,0.0136734,0.0582,0.0096,0.0205,0.002,1.0,0.01,,,,,,,,,,,,,,,,,
1310338,10,0.4389,0.00514,0.43883,0.005,0.44,0.005,22.2149,0.209461,41.4679,0.211194,-9.0,0,0,0.012551,0.028483,-0.406788,0.31494,22.3242,0.0344267,2.11023e-05,6.69114e-07,0.00104451,-7.59365e-08,-1.31066e-08,35.042,-6.3767,-999,-999,-9.0,-14.1438,250,0.0236053,7.0,2.0,56977.3,0.4231,54,44.4129,0.82079,0.0878,0.03,-0.0419,0.005,1.0,0.011,,,,,,,,,,,,,,,,,
560027,15,0.43891,0.00156,0.43883,0.001,0.44,0.001,22.4152,0.278656,41.6682,0.279961,-9.0,0,0,-0.163924,0.056223,-0.520101,0.64681,22.0907,0.056629,2.6165e-05,1.36469e-06,-0.00351945,-3.00455e-07,-3.11839e-08,35.8506,-3.0839,-999,-999,14.9387,-16.1653,250,0.0222394,11.5,0.1,56569.2,1.1485,37,40.919,0.30245,0.205,0.0091,0.0533,0.005,0.893,0.0,,,,,,,,,,,,,,,,,
1295256,10,0.44245,0.00514,0.44246,0.005,0.443,0.005,22.5993,0.17077,41.8523,0.172891,-9.0,0,0,-0.1027,0.027635,-0.148795,0.34917,22.379,0.0359315,2.00634e-05,6.63981e-07,0.00129968,-1.17263e-07,-1.20528e-08,53.7194,-27.8328,-999,-999,0.81,3.7359,250,0.00791482,8.803,0.3025,56928.2,0.3774,55,57.7129,0.37528,0.0922,0.0298,0.0229,0.002,1.0,0.005,,,,,,,,,,,,,,,,,
