features,n_features,rms
$\log M_\star$ + SFR + $D_n4000$ + $z$ + $x_1$,5,0.13228956409229856
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $z$ + $x_1$,6,0.132296120596159
$\log M_\star$ + $\sigma_v$ + $x_1$ + $c$,4,0.13229991267427557
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $c$,4,0.1323544726000843
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $z$ + $x_1$,5,0.13236102167699781
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age + $z$ + $x_1$,6,0.1324060386864902
$\log M_\star$ + SFR + $D_n4000$ + $c$,4,0.13254768635400516
$z$ + $x_1$ + $c$,3,0.13257432027625365
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$,7,0.13259641248874104
$\log M_\star$ + $g - r$ + $z$ + $x_1$,4,0.13262783620877797
$D_n4000$ + $g - r$ + Age + $z$ + $x_1$,5,0.1326503117950121
SFR + $\sigma_v$ + $g - r$ + $c$,4,0.13271904000341708
SFR + $D_n4000$ + $z$ + $c$,4,0.1327393063770045
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$,7,0.1327397706393613
$\log M_\star$ + $D_n4000$ + Age + $z$ + $x_1$,5,0.1327692117996951
SFR + $\sigma_v$ + $z$ + $c$,4,0.13277293428761194
SFR + $g - r$ + Age + $z$ + $x_1$,5,0.13277742530605705
$\log M_\star$ + SFR + $x_1$ + $c$,4,0.13295015783293568
$\log M_\star$ + SFR + $\sigma_v$ + Age + $c$,5,0.13300876469981435
SFR + $\sigma_v$ + $D_n4000$ + $z$ + $x_1$,5,0.13302335499914275
$\log M_\star$ + $\sigma_v$ + Age + $z$ + $x_1$,5,0.13304980003331926
$\log M_\star$ + $D_n4000$ + Age + $c$,4,0.13306457891887408
$\sigma_v$ + $g - r$ + Age + $z$ + $x_1$,5,0.13307967508773924
$\sigma_v$ + $g - r$ + Age + $c$,4,0.13308918256620939
SFR + Age + $x_1$ + $c$,4,0.13313044018193051
$\log M_\star$ + $D_n4000$ + $z$ + $x_1$,4,0.13316347419773644
$\log M_\star$ + $z$ + $c$,3,0.13317557986329598
$\sigma_v$ + $D_n4000$ + $g - r$ + $z$ + $x_1$,5,0.1331879620446068
$D_n4000$ + $g - r$ + Age + $c$,4,0.13336182748658382
$\sigma_v$ + $D_n4000$ + Age + $c$,4,0.1333891756449932
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$,6,0.13339189042668803
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $x_1$,6,0.13339200282740493
SFR + $D_n4000$ + $g - r$ + $c$,4,0.13340061355707913
$\log M_\star$ + Age + $z$ + $x_1$,4,0.1334335185038779
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$,6,0.13344619768481605
$\log M_\star$ + $g - r$ + Age + $c$,4,0.1335050843798383
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$,6,0.13351312557234313
SFR + $D_n4000$ + Age + $z$ + $x_1$,5,0.1335952269182791
$D_n4000$ + $g - r$ + $z$ + $x_1$,4,0.13362220589265217
$\sigma_v$ + $D_n4000$ + Age + $z$ + $x_1$,5,0.13362740997978848
SFR + $\sigma_v$ + $g - r$ + $z$ + $x_1$,5,0.1336753067120612
SFR + Age + $z$ + $c$,4,0.1336897440934835
$g - r$ + Age + $z$ + $x_1$,4,0.13371624584385133
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$,6,0.13372974845794028
$\log M_\star$ + SFR + $\sigma_v$ + $z$ + $x_1$,5,0.13376429670471535
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$,6,0.13389426113387093
SFR + $\sigma_v$ + Age + $z$ + $x_1$,5,0.13389868462437235
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $z$,6,0.13398223272471554
$\log M_\star$ + $g - r$ + $c$,3,0.1340154676309852
$\log M_\star$ + $\sigma_v$ + Age + $c$,4,0.13405919761977486
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $x_1$,6,0.13408881772021808
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $x_1$,6,0.13411574963852882
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $z$,6,0.13413888037607982
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$,6,0.13417603858128113
SFR + $\sigma_v$ + $D_n4000$ + $c$,4,0.13418853112100884
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $z$,5,0.13419774514150323
SFR + $g - r$ + Age + $c$,4,0.13424392667045712
SFR + $g - r$ + $z$ + $x_1$,4,0.13425156176622807
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $x_1$,5,0.13426348762875537
$\log M_\star$ + SFR + $z$ + $x_1$,4,0.13431656793009225
$\sigma_v$ + $g - r$ + $c$,3,0.1343645604543136
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $x_1$,5,0.13440671952206548
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $z$,5,0.13443911013841378
$\log M_\star$ + SFR + $\sigma_v$ + $c$,4,0.13444350031270552
$D_n4000$ + Age + $z$ + $x_1$,4,0.1344493585084735
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $x_1$,5,0.13447279064944395
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$,5,0.13447569834844542
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + $z$,5,0.13450367076944858
Age + $x_1$ + $c$,3,0.13462408509128704
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $z$,6,0.13465393506175832
SFR + $\sigma_v$ + $x_1$ + $c$,4,0.1346940242754466
$\log M_\star$ + $D_n4000$ + $c$,3,0.1347040396945674
$D_n4000$ + $x_1$ + $c$,3,0.13470731468655675
$\log M_\star$ + SFR + $g - r$ + Age + $x_1$,5,0.13474139938726365
$\log M_\star$ + SFR + $D_n4000$ + Age + $x_1$,5,0.13474298134142665
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$,5,0.13477212012459597
$\log M_\star$ + SFR + $g - r$ + Age + $z$,5,0.13491444964534052
$\sigma_v$ + $g - r$ + $z$ + $x_1$,4,0.13495049791849362
$D_n4000$ + $g - r$ + $c$,3,0.13498022181899613
$\log M_\star$ + $x_1$ + $c$,3,0.13498429458378727
SFR + $D_n4000$ + $g - r$ + Age + $z$,5,0.13501021925233048
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$,5,0.13503133533706285
$\sigma_v$ + Age + $z$ + $x_1$,4,0.13509997076974523
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $x_1$,5,0.13512137689279274
$D_n4000$ + $z$ + $c$,3,0.1351988341745214
$\sigma_v$ + $D_n4000$ + $z$ + $x_1$,4,0.1352262665827183
SFR + $D_n4000$ + $g - r$ + Age + $x_1$,5,0.1352880152120984
SFR + Age + $z$ + $x_1$,4,0.13528952887617815
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age + $z$,5,0.13534849611112734
$\log M_\star$ + $\sigma_v$ + $z$ + $x_1$,4,0.1353703405745202
$\log M_\star$ + $D_n4000$ + $g - r$ + $x_1$,4,0.13543140408176055
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age + $x_1$,5,0.13543549259309445
$\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$,5,0.1354631562865747
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $z$,5,0.13547709804583194
$\log M_\star$ + SFR + Age + $c$,4,0.13548300927589046
$\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$,5,0.1355943227894339
SFR + $\sigma_v$ + Age + $c$,4,0.13564939034124354
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + $x_1$,5,0.13564982201943998
$\log M_\star$ + $\sigma_v$ + $g - r$ + $z$,4,0.13570069515661093
SFR + $\sigma_v$ + $D_n4000$ + Age + $x_1$,5,0.13578093041690667
$\sigma_v$ + $z$ + $c$,3,0.13578695259047488
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$,5,0.13578698260012614
$\log M_\star$ + $\sigma_v$ + $c$,3,0.13587012631566464
SFR + $D_n4000$ + Age + $c$,4,0.13589058535665335
SFR + $g - r$ + $c$,3,0.1359319602518516
SFR + $\sigma_v$ + $g - r$ + Age + $z$,5,0.13594370392300711
$\sigma_v$ + $D_n4000$ + $c$,3,0.13595200255242476
SFR + $D_n4000$ + $z$ + $x_1$,4,0.13595749828162704
$\log M_\star$ + $D_n4000$ + $g - r$ + $z$,4,0.1359969895022961
SFR + $\sigma_v$ + $g - r$ + Age + $x_1$,5,0.13600062372377958
$\log M_\star$ + SFR + $D_n4000$ + $x_1$,4,0.1360021212984122
$\log M_\star$ + $z$ + $x_1$,3,0.13604182618300922
$\log M_\star$ + SFR + $g - r$ + $z$,4,0.13606496016867398
$\log M_\star$ + SFR + $D_n4000$ + Age + $z$,5,0.13607790263661704
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age,6,0.13608593091495086
$\log M_\star$ + $D_n4000$ + Age + $x_1$,4,0.13613166622619902
$\log M_\star$ + $g - r$ + Age + $x_1$,4,0.13618568477914372
Age + $z$ + $x_1$,3,0.1362415018439325
$\log M_\star$ + SFR + $\sigma_v$ + Age + $x_1$,5,0.13624942551425506
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $z$,5,0.13628210317322947
$g - r$ + $z$ + $x_1$,3,0.13630276354090481
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $x_1$,4,0.13641548258224206
$\log M_\star$ + SFR + $g - r$ + $x_1$,4,0.1365158610149024
$\log M_\star$ + SFR + $D_n4000$ + $z$,4,0.13652422427600264
$g - r$ + Age + $c$,3,0.13653614884034695
Age + $z$ + $c$,3,0.1365417493287082
$\log M_\star$ + $g - r$ + Age + $z$,4,0.13654722509487233
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$,5,0.1366052147863718
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age,5,0.1367203524994381
$\log M_\star$ + SFR + Age + $x_1$,4,0.13674526733698586
SFR + $\sigma_v$ + $D_n4000$ + Age + $z$,5,0.13678781281606156
$D_n4000$ + Age + $c$,3,0.13679616742395176
SFR + $D_n4000$ + $g - r$ + $z$,4,0.13685630403928964
$\sigma_v$ + $D_n4000$ + $g - r$ + $z$,4,0.136940378240853
$\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$,4,0.13701833251100745
SFR + $\sigma_v$ + $g - r$ + $z$,4,0.13705559642148946
SFR + $D_n4000$ + $g - r$ + $x_1$,4,0.13707785012470333
$\sigma_v$ + $D_n4000$ + Age + $x_1$,4,0.13709485199105975
SFR + $g - r$ + Age + $x_1$,4,0.13709542597573138
$\log M_\star$ + SFR + $\sigma_v$ + Age + $z$,5,0.13712981432856036
$\sigma_v$ + $x_1$ + $c$,3,0.13716609112555525
$D_n4000$ + $g - r$ + Age + $x_1$,4,0.13720019669364825
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age,5,0.13721494996542496
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $z$,4,0.1372301471459719
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age,5,0.13727284630774877
$D_n4000$ + $g - r$ + Age + $z$,4,0.13728992475202734
SFR + $\sigma_v$ + $D_n4000$ + $x_1$,4,0.13737306035698002
$\log M_\star$ + SFR + $c$,3,0.13751157071373588
$\log M_\star$ + Age + $c$,3,0.1375162768861225
$\log M_\star$ + $\sigma_v$ + $g - r$ + $x_1$,4,0.1375775941418132
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age,5,0.1375831515303247
$\log M_\star$ + SFR + $\sigma_v$ + $z$,4,0.13760337001408154
$D_n4000$ + $z$ + $x_1$,3,0.13764485458856365
$\log M_\star$ + $D_n4000$ + $x_1$,3,0.13765408308422064
SFR + $z$ + $c$,3,0.13778504925692395
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age,5,0.13780346379546343
$\log M_\star$ + $\sigma_v$ + Age + $x_1$,4,0.1378042953331722
$\log M_\star$ + $g - r$ + $x_1$,3,0.13781112317844285
SFR + $g - r$ + Age + $z$,4,0.13781164238193067
$\log M_\star$ + SFR + $D_n4000$ + $g - r$,4,0.1378211902672728
$\sigma_v$ + Age + $c$,3,0.13782619423385908
$\log M_\star$ + SFR + Age + $z$,4,0.13785275378251752
$\log M_\star$ + $D_n4000$ + Age + $z$,4,0.13796252603068412
$\sigma_v$ + $g - r$ + Age + $x_1$,4,0.13797314085173304
SFR + $D_n4000$ + Age + $x_1$,4,0.13798604529243022
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$,4,0.13802606913643747
$\sigma_v$ + $g - r$ + Age + $z$,4,0.13805323655972349
$\log M_\star$ + $g - r$ + $z$,3,0.13814125706455926
$\log M_\star$ + $D_n4000$ + $g - r$ + Age,4,0.1381964499053231
SFR + $\sigma_v$ + $z$ + $x_1$,4,0.13822813703542672
SFR + $\sigma_v$ + $D_n4000$ + $z$,4,0.13838383227627996
$\log M_\star$ + $\sigma_v$ + Age + $z$,4,0.1384360262186552
$\sigma_v$ + $D_n4000$ + Age + $z$,4,0.13843608440941235
$\log M_\star$ + Age + $x_1$,3,0.1384365065576031
$\sigma_v$ + $D_n4000$ + $g - r$ + Age,4,0.13859108799793857
SFR + $x_1$ + $c$,3,0.13893009643043716
$g - r$ + Age + $x_1$,3,0.13897267561633175
$g - r$ + $c$,2,0.13900048756101757
SFR + $D_n4000$ + $g - r$ + Age,4,0.13901208884021002
SFR + $\sigma_v$ + $g - r$ + $x_1$,4,0.1390252438902914
$\log M_\star$ + $D_n4000$ + $z$,3,0.1390265345291269
SFR + $\sigma_v$ + Age + $x_1$,4,0.1390641481329353
$\log M_\star$ + SFR + $g - r$ + Age,4,0.13907447921129085
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$,4,0.13908175809753123
SFR + $\sigma_v$ + $D_n4000$ + $g - r$,4,0.13911585808617868
SFR + $D_n4000$ + $c$,3,0.13920235203808623
$D_n4000$ + $g - r$ + $z$,3,0.1392415351012466
$D_n4000$ + $g - r$ + $x_1$,3,0.13943440259659054
$\log M_\star$ + $D_n4000$ + $g - r$,3,0.13949726970563722
SFR + $D_n4000$ + Age + $z$,4,0.13950279475396252
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age,4,0.13950786185552483
$\log M_\star$ + SFR + $\sigma_v$ + $x_1$,4,0.139619713688641
SFR + $\sigma_v$ + $c$,3,0.139725324855468
$\log M_\star$ + SFR + $z$,3,0.13974678084924436
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$,4,0.1397753822388996
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age,4,0.13978325682597526
$\sigma_v$ + Age + $x_1$,3,0.13978726408320769
$D_n4000$ + Age + $x_1$,3,0.13980287855797915
$\sigma_v$ + $D_n4000$ + $x_1$,3,0.13981048377737954
SFR + $g - r$ + $z$,3,0.13983192227915908
$\log M_\star$ + SFR + $D_n4000$ + Age,4,0.13984655002680846
SFR + $\sigma_v$ + $g - r$ + Age,4,0.14006124463639857
$\sigma_v$ + $z$ + $x_1$,3,0.1402198538359585
SFR + $\sigma_v$ + $D_n4000$ + Age,4,0.14023886784467615
$\log M_\star$ + $\sigma_v$ + $z$,3,0.14026296920669656
$\sigma_v$ + $D_n4000$ + $z$,3,0.14027372880288996
$g - r$ + Age + $z$,3,0.14027484173867377
$\log M_\star$ + Age + $z$,3,0.1403537872316737
SFR + Age + $x_1$,3,0.14051631782844468
SFR + $\sigma_v$ + Age + $z$,4,0.14055892477111334
SFR + Age + $c$,3,0.14066407632760627
$\log M_\star$ + SFR + $D_n4000$,3,0.14067949717884634
$\sigma_v$ + $g - r$ + $z$,3,0.1407327480898487
$\log M_\star$ + SFR + $g - r$,3,0.14087057631887326
$\log M_\star$ + $D_n4000$ + Age,3,0.14088657312941777
$\log M_\star$ + $g - r$ + Age,3,0.14092957100960746
$\log M_\star$ + $c$,2,0.14094726792512824
SFR + $g - r$ + $x_1$,3,0.14098153474584765
$\log M_\star$ + $\sigma_v$ + $D_n4000$,3,0.14098976082708495
SFR + $z$ + $x_1$,3,0.14107642762275768
$\sigma_v$ + $D_n4000$ + $g - r$,3,0.1413555314317013
$\log M_\star$ + SFR + $x_1$,3,0.14143478568737122
$D_n4000$ + $g - r$ + Age,3,0.14163948500315152
$\log M_\star$ + $\sigma_v$ + $g - r$,3,0.14168522316727025
$D_n4000$ + Age + $z$,3,0.14173947455148977
$\sigma_v$ + $g - r$ + $x_1$,3,0.14188226357486763
$z$ + $c$,2,0.14193347686687433
SFR + $D_n4000$ + $g - r$,3,0.14194963226575708
SFR + $\sigma_v$ + $z$,3,0.14198233061807589
SFR + $D_n4000$ + $x_1$,3,0.1420249975734409
$\log M_\star$ + SFR + $\sigma_v$ + Age,4,0.1420397877518962
$\sigma_v$ + $D_n4000$ + Age,3,0.14206077173381096
SFR + $g - r$ + Age,3,0.14219261779844056
$x_1$ + $c$,2,0.14220060844489477
$\log M_\star$ + $\sigma_v$ + $x_1$,3,0.1423342584367112
Age + $x_1$,2,0.14252085600800185
SFR + $D_n4000$ + $z$,3,0.14296684190073594
$\log M_\star$ + $z$,2,0.1430172839691701
$\log M_\star$ + $D_n4000$,2,0.143072034818658
$D_n4000$ + $c$,2,0.14308234239207107
SFR + $\sigma_v$ + $g - r$,3,0.14312345427334813
$\sigma_v$ + $g - r$ + Age,3,0.1431315768170716
Age + $c$,2,0.1433872334764281
SFR + $\sigma_v$ + $D_n4000$,3,0.14358492983823465
$\log M_\star$ + $\sigma_v$ + Age,3,0.1436735631376437
$\log M_\star$ + $g - r$,2,0.1439828942308724
$\log M_\star$ + SFR + Age,3,0.1440499518360266
$\sigma_v$ + Age + $z$,3,0.14405816293992582
SFR + $D_n4000$ + Age,3,0.1441695831449059
SFR + Age + $z$,3,0.14424125887977018
$z$ + $x_1$,2,0.14439654397693522
$\log M_\star$ + $x_1$,2,0.14447823536240326
$\log M_\star$ + SFR + $\sigma_v$,3,0.1445571461866721
$\sigma_v$ + $c$,2,0.14457584325995854
$g - r$ + $z$,2,0.14476426815009724
$g - r$ + $x_1$,2,0.14504736885331268
$\sigma_v$ + $D_n4000$,2,0.1452995371293247
$D_n4000$ + $z$,2,0.14560015450178027
$D_n4000$ + $x_1$,2,0.14561815179509813
$D_n4000$ + $g - r$,2,0.14580720869643013
$g - r$ + Age,2,0.14586106403237767
SFR + $\sigma_v$ + $x_1$,3,0.1458840321720322
$\log M_\star$ + Age,2,0.14634974658306907
SFR + $c$,2,0.1467191396804431
$D_n4000$ + Age,2,0.14699795283858408
SFR + $\sigma_v$ + Age,3,0.14718588861670615
SFR + $g - r$,2,0.1481240983602736
$\sigma_v$ + $z$,2,0.14815088477079333
$\log M_\star$ + $\sigma_v$,2,0.148394778393526
Age + $z$,2,0.14852453244085184
SFR + $z$,2,0.14903301641094824
$\log M_\star$ + SFR,2,0.1490503842693241
$\sigma_v$ + $g - r$,2,0.14930416432241486
$\sigma_v$ + Age,2,0.14943912692007838
SFR + $D_n4000$,2,0.15128857389849978
$\sigma_v$ + $x_1$,2,0.151444563501649
SFR + $x_1$,2,0.15213925165979972
SFR + Age,2,0.15290167128819102
SFR + $\sigma_v$,2,0.1537255104782296
$\log M_\star$,1,0.15441160549639954
$g - r$,1,0.15554812060069076
$c$,1,0.1558628166578235
$D_n4000$,1,0.15642001395912813
$z$,1,0.15841428148309186
Age,1,0.158478376923003
$x_1$,1,0.1604337960725702
$\sigma_v$,1,0.1635615865911589
SFR,1,0.17178658889040743
